(ep: 2, it: 133600, t: 0.001[s], ept: 0.09/0.11[h]) loss_total: 0.572, acc_r: 0.730
(ep: 2, it: 138600, t: 0.001[s], ept: 0.10/0.11[h]) loss_total: 0.608, acc_r: 0.670
(ep: 2, it: 143600, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.471, acc_r: 0.830
(ep: 2, it: 148600, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.704, acc_r: 0.620
(ep: 3, it: 2200, t: 0.002[s], ept: 0.00/0.12[h]) loss_total: 0.622, acc_r: 0.700
(ep: 3, it: 7200, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.631, acc_r: 0.720
(ep: 3, it: 12200, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.577, acc_r: 0.720
(ep: 3, it: 17200, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.425, acc_r: 0.860
(ep: 3, it: 22200, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.558, acc_r: 0.720
(ep: 3, it: 27200, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.620, acc_r: 0.660
(ep: 3, it: 32200, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.565, acc_r: 0.680
(ep: 3, it: 37200, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.512, acc_r: 0.740
(ep: 3, it: 42200, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.634, acc_r: 0.690
(ep: 3, it: 47200, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.504, acc_r: 0.770
(ep: 3, it: 52200, t: 0.001[s], ept: 0.04/0.11[h]) loss_total: 0.520, acc_r: 0.760
(ep: 3, it: 57200, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.615, acc_r: 0.680
(ep: 3, it: 62200, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.578, acc_r: 0.700
(ep: 3, it: 67200, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.531, acc_r: 0.760
(ep: 3, it: 72200, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.679, acc_r: 0.560
(ep: 3, it: 77200, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.498, acc_r: 0.770
(ep: 3, it: 82200, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.527, acc_r: 0.730
(ep: 3, it: 87200, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.542, acc_r: 0.650
(ep: 3, it: 92200, t: 0.001[s], ept: 0.07/0.11[h]) loss_total: 0.508, acc_r: 0.750
(ep: 3, it: 97200, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.548, acc_r: 0.670
(ep: 3, it: 102200, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.552, acc_r: 0.750
(ep: 3, it: 107200, t: 0.001[s], ept: 0.08/0.11[h]) loss_total: 0.577, acc_r: 0.680
(ep: 3, it: 112200, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.509, acc_r: 0.780
(ep: 3, it: 117200, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.565, acc_r: 0.760
(ep: 3, it: 122200, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.548, acc_r: 0.670
(ep: 3, it: 127200, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.555, acc_r: 0.740
(ep: 3, it: 132200, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.524, acc_r: 0.800
(ep: 3, it: 137200, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.656, acc_r: 0.720
(ep: 3, it: 142200, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.526, acc_r: 0.790
(ep: 3, it: 147200, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.491, acc_r: 0.820
(ep: 4, it: 800, t: 0.002[s], ept: 0.00/0.14[h]) loss_total: 0.550, acc_r: 0.720
(ep: 4, it: 5800, t: 0.002[s], ept: 0.00/0.11[h]) loss_total: 0.644, acc_r: 0.630
(ep: 4, it: 10800, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.557, acc_r: 0.720
(ep: 4, it: 15800, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.595, acc_r: 0.700
(ep: 4, it: 20800, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.600, acc_r: 0.650
(ep: 4, it: 25800, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.592, acc_r: 0.740
(ep: 4, it: 30800, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.599, acc_r: 0.670
(ep: 4, it: 35800, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.620, acc_r: 0.660
(ep: 4, it: 40800, t: 0.001[s], ept: 0.03/0.11[h]) loss_total: 0.575, acc_r: 0.630
(ep: 4, it: 45800, t: 0.001[s], ept: 0.03/0.11[h]) loss_total: 0.558, acc_r: 0.720
(ep: 4, it: 50800, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.534, acc_r: 0.750
(ep: 4, it: 55800, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.525, acc_r: 0.760
(ep: 4, it: 60800, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.633, acc_r: 0.670
(ep: 4, it: 65800, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.510, acc_r: 0.780
(ep: 4, it: 70800, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.650, acc_r: 0.770
(ep: 4, it: 75800, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.518, acc_r: 0.740
(ep: 4, it: 80800, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.544, acc_r: 0.690
(ep: 4, it: 85800, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.602, acc_r: 0.640
(ep: 4, it: 90800, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.551, acc_r: 0.740
(ep: 4, it: 95800, t: 0.001[s], ept: 0.07/0.11[h]) loss_total: 0.611, acc_r: 0.680
(ep: 4, it: 100800, t: 0.001[s], ept: 0.07/0.11[h]) loss_total: 0.587, acc_r: 0.720
(ep: 4, it: 105800, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.568, acc_r: 0.700
(ep: 4, it: 110800, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.561, acc_r: 0.710
